,CNN,NYT,WP,Total
2013-09,7,1,0,8
2013-10,12,0,3,15
2013-11,3,12,4,19
2013-12,3,16,1,20
2014-01,13,1,4,18
2014-02,6,0,0,6
2014-03,11,0,1,12
2014-04,12,0,2,14
2014-05,6,0,5,11
2014-06,1,0,2,3
2014-07,6,0,0,6
2014-08,5,0,2,7
2014-09,2,0,5,7
2014-10,6,0,1,7
2014-11,3,16,2,21
2014-12,4,0,1,5
2015-01,5,0,0,5
2015-02,4,0,0,4
2015-03,6,0,4,10
2015-04,10,0,2,12
2015-05,10,0,6,16
2015-06,13,0,6,19
2015-07,43,0,27,70
2015-08,25,0,36,61
2015-09,13,14,19,46
2015-10,7,0,8,15
2015-11,7,0,8,15
2015-12,4,0,7,11
2016-01,23,11,25,59
2016-02,11,15,6,32
2016-03,5,8,6,19
2016-04,3,0,3,6
2016-05,1,0,2,3
2016-06,1,0,0,1
2016-07,1,0,0,1
2016-08,2,1,1,4
2016-09,7,4,9,20
2016-10,4,5,5,14
2016-11,9,3,3,15
2016-12,19,8,4,31
2017-01,12,16,7,35
2017-02,5,0,2,7
2017-03,7,10,6,23
2017-04,10,14,4,28
2017-05,12,8,4,24
2017-06,6,6,4,16
2017-07,8,7,5,20
2017-08,10,3,6,19
2017-09,0,9,4,13
2017-10,8,2,1,11
2017-11,6,10,2,18
2017-12,2,4,1,7
2018-01,9,5,3,17
2018-02,2,7,7,16
2018-03,4,21,9,34
2018-04,14,26,16,56
2018-05,17,10,6,33
2018-06,21,1,9,31
2018-07,13,0,11,24
2018-08,10,9,11,30
2018-09,7,11,23,41
2018-10,24,21,13,58
2018-11,25,17,10,52
2018-12,20,23,20,63
2019-01,35,4,16,55
2019-02,26,24,12,62
2019-03,15,16,4,35
2019-04,11,10,10,31
2019-05,49,41,34,124
2019-06,15,12,0,27
2019-07,22,13,0,35
2019-08,48,33,7,88
2019-09,26,16,23,65
2019-10,26,17,24,67
2019-11,21,10,14,45
2019-12,27,8,13,48
2020-01,23,0,20,43
2020-02,14,0,16,30
2020-03,8,0,5,13
2020-04,7,0,9,16
2020-05,14,0,18,32
2020-06,10,0,9,19
2020-07,14,0,6,20
2020-08,13,3,6,22
2020-09,5,9,9,23
2020-10,6,7,3,16
2020-11,7,4,1,12
2020-12,7,0,0,7
2021-01,7,2,0,9
2021-02,0,2,0,2
2021-03,7,3,0,10
2021-04,4,2,0,6
2021-05,5,2,0,7
2021-06,4,2,0,6
2021-07,8,4,0,12
2021-08,6,2,0,8
2021-09,10,11,0,21
2021-10,4,7,0,11
2021-11,10,5,0,15
2021-12,11,1,3,15
2022-01,8,1,2,11
2022-02,3,1,4,8
2022-03,13,0,4,17
2022-04,8,0,7,15
2022-05,16,0,2,18
2022-06,8,0,6,14
2022-07,10,0,11,21
2022-08,10,11,6,27
2022-09,4,4,1,9
2022-10,7,7,4,18
2022-11,11,5,5,21
2022-12,9,4,3,16
2023-01,32,4,3,39
2023-02,31,6,5,42
2023-03,60,9,2,71
2023-04,17,6,7,30
2023-05,15,5,6,26
2023-06,27,8,4,39
2023-07,20,11,5,36
2023-08,46,22,39,107
2023-09,28,9,14,51
2023-10,12,3,16,31
2023-11,21,7,21,49
2023-12,13,6,16,35
2024-01,11,7,18,36
2024-02,17,2,14,33
2024-03,11,1,4,16
2024-04,5,2,0,7
2024-05,5,7,0,12
2024-06,3,4,0,7
2024-07,7,5,0,12
2024-08,2,3,0,5
2024-09,5,5,2,12
2024-10,4,7,3,14
2024-11,3,4,1,8
2024-12,6,5,2,13
